episode,reward,success,turn
286,0.63,1,6
287,0.86,1,8
288,-1.74,0,11
289,1.06,1,7
290,1.05,1,6
291,1.04,1,5
292,1.04,1,5
293,1.05,1,6
294,1.05,1,6
295,0.6499999999999999,1,8
296,1.05,1,6
297,0.8500000000000001,1,7
298,1.06,1,7
299,1.04,1,5
300,-1.95,0,11
301,0.6599999999999999,1,9
302,1.04,1,5
303,0.8500000000000001,1,7
304,0.84,1,6
305,0.64,1,7
306,1.05,1,6
307,0.44999999999999996,1,9
308,-1.74,0,11
309,0.85,1,7
310,1.06,1,7
311,0.84,1,6
312,0.6599999999999999,1,9
313,1.03,1,4
314,1.06,1,7
315,-1.95,0,11
316,1.06,1,7
317,0.86,1,8
318,0.84,1,6
319,1.04,1,5
320,1.03,1,4
321,1.06,1,7
322,1.06,1,7
323,0.85,1,7
324,1.01,1,2
325,1.05,1,6
326,0.85,1,7
327,1.05,1,6
328,1.05,1,6
329,1.04,1,5
330,-1.95,0,11
331,0.22999999999999998,1,8
332,1.06,1,7
333,1.04,1,5
334,0.85,1,7
335,0.86,1,8
336,1.05,1,6
337,0.84,1,6
338,0.45999999999999996,1,10
339,0.85,1,7
340,0.44999999999999996,1,9
341,0.8500000000000001,1,7
342,0.040000000000000036,1,10
343,1.03,1,4
344,0.6599999999999999,1,9
345,1.05,1,6
346,-1.74,0,11
347,0.6599999999999999,1,9
348,-1.74,0,11
349,-1.74,0,11
350,0.6599999999999999,1,9
351,1.04,1,5
352,1.05,1,6
353,0.85,1,7
354,1.05,1,6
355,-1.74,0,11
356,1.04,1,5
357,0.85,1,7
358,1.05,1,6
359,1.06,1,7
360,1.04,1,5
361,0.64,1,7
362,0.66,1,9
363,1.05,1,6
364,1.06,1,7
365,0.6599999999999999,1,9
366,1.04,1,5
367,-1.74,0,11
368,1.03,1,4
369,1.06,1,7
370,1.05,1,6
371,0.86,1,8
372,0.84,1,6
373,0.66,1,9
374,0.65,1,8
375,1.05,1,6
376,-1.95,0,11
377,-1.74,0,11
378,1.06,1,7
379,0.8500000000000001,1,7
380,0.84,1,6
381,1.04,1,5
382,0.65,1,8
383,1.06,1,7
384,0.8400000000000001,1,6
385,1.06,1,7
386,1.05,1,6
387,0.65,1,8
388,1.04,1,5
389,1.06,1,7
390,-1.95,0,11
391,0.85,1,7
392,0.85,1,7
393,0.84,1,6
394,1.04,1,5
395,1.04,1,5
396,0.64,1,7
397,0.45999999999999996,1,10
398,0.45999999999999996,1,10
399,1.06,1,7
400,0.8600000000000001,1,8
401,1.05,1,6
402,1.05,1,6
403,0.86,1,8
404,1.05,1,6
405,1.04,1,5
406,-1.74,0,11
407,0.86,1,8
408,0.84,1,6
409,0.85,1,7
410,0.8500000000000001,1,7
411,0.6599999999999999,1,9
412,0.84,1,6
413,0.86,1,8
414,1.05,1,6
415,1.05,1,6
416,1.04,1,5
417,0.65,1,8
418,0.64,1,7
419,0.45999999999999996,1,10
420,0.84,1,6
421,0.85,1,7
422,1.03,1,4
423,0.040000000000000036,1,10
424,0.6599999999999999,1,9
425,1.05,1,6
426,0.63,1,6
427,0.85,1,7
428,1.04,1,5
429,0.8400000000000001,1,6
430,0.24,1,9
431,0.44999999999999996,1,9
432,0.42999999999999994,1,7
433,0.85,1,7
434,0.84,1,6
435,1.05,1,6
436,0.66,1,9
437,1.04,1,5
438,-1.74,0,11
439,0.66,1,9
440,1.05,1,6
441,1.04,1,5
442,1.06,1,7
443,1.04,1,5
444,1.03,1,4
445,1.04,1,5
446,1.06,1,7
447,1.03,1,4
448,0.45999999999999996,1,10
449,1.05,1,6
450,0.24,1,9
451,1.05,1,6
452,1.03,1,4
453,1.05,1,6
454,1.04,1,5
455,0.64,1,7
456,1.05,1,6
457,0.22999999999999998,1,8
458,1.04,1,5
459,0.8500000000000001,1,7
460,0.8500000000000001,1,7
461,1.06,1,7
462,1.05,1,6
463,0.8600000000000001,1,8
464,1.05,1,6
465,0.43999999999999995,1,8
466,0.43999999999999995,1,8
467,0.86,1,8
468,0.64,1,7
469,1.03,1,4
470,0.8500000000000001,1,7
471,0.85,1,7
472,0.8600000000000001,1,8
473,1.04,1,5
474,1.04,1,5
475,0.65,1,8
476,-1.95,0,11
477,1.05,1,6
478,1.05,1,6
479,0.65,1,8
480,0.45999999999999996,1,10
481,0.85,1,7
482,1.04,1,5
483,1.06,1,7
484,1.04,1,5
485,1.06,1,7
486,1.04,1,5
487,0.65,1,8
488,0.86,1,8
489,0.66,1,9
490,0.6599999999999999,1,9
491,0.85,1,7
492,0.44999999999999996,1,9
493,-1.95,0,11
494,1.05,1,6
495,1.05,1,6
496,-1.74,0,11
497,0.86,1,8
498,1.05,1,6
499,1.05,1,6
500,-1.74,0,11
501,0.85,1,7
502,-1.74,0,11
503,0.8300000000000001,1,5
504,0.64,1,7
505,1.05,1,6
506,1.05,1,6
507,0.85,1,7
508,1.05,1,6
509,1.03,1,4
510,1.05,1,6
511,1.06,1,7
512,1.06,1,7
513,1.05,1,6
514,1.06,1,7
515,0.45999999999999996,1,10
516,1.04,1,5
517,1.04,1,5
518,1.04,1,5
519,1.05,1,6
520,1.05,1,6
521,0.44999999999999996,1,9
522,0.8600000000000001,1,8
523,0.64,1,7
524,1.05,1,6
525,1.05,1,6
526,1.05,1,6
527,0.8600000000000001,1,8
528,0.45999999999999996,1,10
529,0.85,1,7
